id,question,answer,category
FAQ_021,"Hướng dẫn cách tạo tài khoản mới.","Bấm vào 'Đăng ký', điền tên, SĐT, mật khẩu và xác thực OTP là xong ạ.",ACCOUNT
FAQ_022,"Có mất tiền khi tạo tài khoản không?","Việc đăng ký tài khoản là hoàn toàn miễn phí ạ.",ACCOUNT
FAQ_023,"Tôi muốn đổi số điện thoại đăng ký.","Bạn vào 'Thông tin cá nhân' để cập nhật số điện thoại mới nhé.",ACCOUNT
FAQ_024,"Một số điện thoại tạo được mấy tài khoản?","Mỗi số điện thoại chỉ tạo được duy nhất một tài khoản.",ACCOUNT
FAQ_025,"Tôi đăng nhập bằng Facebook được không?","Hệ thống có hỗ trợ đăng nhập nhanh bằng Facebook và Google.",ACCOUNT
FAQ_026,"Làm sao để thay đổi ảnh đại diện?","Bạn vào trang cá nhân, bấm vào hình avatar để tải ảnh mới lên.",ACCOUNT
FAQ_027,"Tài khoản của tôi bị khóa, phải làm sao?","Vui lòng liên hệ bộ phận CSKH để kiểm tra nguyên nhân và mở khóa.",ACCOUNT
FAQ_028,"Làm sao để đăng xuất khỏi thiết bị khác?","Bạn có thể chọn 'Đăng xuất tất cả thiết bị' trong phần Cài đặt bảo mật.",ACCOUNT
FAQ_029,"Tôi không nhớ tên đăng nhập.","Tên đăng nhập thường là số điện thoại hoặc email bạn đã đăng ký.",ACCOUNT
FAQ_030,"Có cần xác thực email không?","Việc xác thực email giúp bạn lấy lại mật khẩu dễ dàng hơn và nhận thông báo quan trọng.",ACCOUNT
FAQ_031,"Quy trình đặt bàn gồm mấy bước?","Gồm 3 bước: Chọn nhà hàng -> Chọn giờ & chỗ -> Xác nhận thông tin.",BOOKING

FAQ_033,"Có thể đặt bàn trước bao lâu?","Bạn có thể đặt trước tối đa 30 ngày tùy theo lịch mở của nhà hàng.",BOOKING
FAQ_034,"Đặt bàn gấp trong ngày được không?","Được ạ, miễn là nhà hàng còn chỗ trống vào giờ bạn chọn.",BOOKING
FAQ_035,"Tôi muốn chọn vị trí ngồi cụ thể (view đẹp).","Bạn hãy ghi chú vào mục 'Yêu cầu đặc biệt' khi đặt, nhà hàng sẽ cố gắng sắp xếp tùy tình trạng thực tế.",BOOKING
FAQ_036,"Làm sao biết đơn đặt đã được duyệt?","Trạng thái đơn sẽ chuyển sang 'Đã xác nhận' và bạn nhận được thông báo qua app/tin nhắn.",BOOKING
FAQ_037,"Tôi muốn đặt phòng riêng (VIP).","Hãy tìm các nhà hàng có tiện ích 'Phòng riêng' và ghi chú yêu cầu khi đặt.",BOOKING
FAQ_038,"Có thể đặt món ăn trước khi đến không?","hiện tại không nhé.",BOOKING
FAQ_039,"Hủy bàn có bị phạt tiền không?","Nếu bạn chưa đặt cọc, hủy bàn không mất phí. Nếu đã cọc, phí hủy tuỳ thuộc chính sách từng nhà hàng.",BOOKING
FAQ_040,"Tôi lỡ tay hủy đơn, khôi phục lại được không?","Không thể khôi phục đơn đã hủy. Bạn vui lòng tạo đơn đặt mới nhé.",BOOKING
FAQ_041,"Sửa số lượng người sau khi đặt có được không?","Được ạ. Bạn vào đơn hàng chọn 'Chỉnh sửa' hoặc gọi báo nhà hàng nếu thay đổi quá lớn.",BOOKING
FAQ_042,"Có giới hạn số lần đặt bàn trong ngày không?","Để tránh spam, hệ thống giới hạn mỗi tài khoản đặt tối đa 3 đơn/ngày.",BOOKING
FAQ_043,"Tại sao đơn của tôi bị từ chối?","Có thể do nhà hàng đã hết chỗ vào giờ đó hoặc đóng cửa đột xuất.",BOOKING
FAQ_044,"Tôi muốn đặt bàn cho sinh nhật.","Bạn hãy ghi chú 'Sinh nhật' khi đặt để nhà hàng chuẩn bị chu đáo hơn.",BOOKING
FAQ_045,"Đặt bàn qua đây giá có rẻ hơn không?","Giá món ăn là giá niêm yết tại nhà hàng, nhưng đặt qua web thường có mã ưu đãi độc quyền.",BOOKING
FAQ_046,"Tôi muốn hoàn tiền cọc thì làm sao?","Nếu hủy đúng quy định, tiền cọc sẽ được hoàn về ví/tài khoản trong 3-5 ngày làm việc.",PAYMENT
FAQ_047,"Thanh toán tại nhà hàng bằng gì?","Tùy nhà hàng, đa số chấp nhận Tiền mặt, Thẻ và Chuyển khoản.",PAYMENT
FAQ_048,"Tôi muốn xuất hóa đơn đỏ (VAT).","Bạn vui lòng điền thông tin xuất hóa đơn vào mục ghi chú hoặc báo lễ tân khi thanh toán tại quán.",PAYMENT
FAQ_049,"Tiền đặt cọc có được trừ vào hóa đơn không?","Có. Tiền cọc sẽ được trừ trực tiếp vào tổng hóa đơn thanh toán sau bữa ăn.",PAYMENT
FAQ_050,"Tại sao tôi bị trừ tiền mà đơn lỗi?","Đừng lo, hệ thống sẽ tự động hoàn tiền trong 24h nếu đơn hàng không được ghi nhận.",PAYMENT
FAQ_051,"Làm sao để liên kết thẻ ngân hàng?","Vào mục 'Ví của tôi' -> 'Liên kết thẻ' và làm theo hướng dẫn bảo mật.",PAYMENT
FAQ_052,"Có hỗ trợ trả góp không?","Hiện tại hệ thống chưa hỗ trợ trả góp cho dịch vụ ăn uống.",PAYMENT
FAQ_053,"Phí dịch vụ trên app là gì?","Đó là khoản phí nhỏ để duy trì nền tảng (nếu có), sẽ hiển thị rõ trước khi bạn thanh toán.",PAYMENT
FAQ_054,"Tôi có mã giảm giá nhưng không dùng được.","Vui lòng kiểm tra hạn sử dụng, điều kiện áp dụng (mức chi tiêu tối thiểu) của mã.",LOYALTY
FAQ_055,"Điểm thưởng dùng để làm gì?","Điểm thưởng dùng để đổi voucher ăn uống, quà tặng hoặc trừ trực tiếp vào đơn sau.",LOYALTY
FAQ_056,"Điểm thưởng có hết hạn không?","Điểm thưởng thường có hạn 12 tháng kể từ ngày tích lũy.",LOYALTY
FAQ_057,"Làm sao để thăng hạng thành viên?","Bạn cần tích lũy đủ số điểm hoặc số lần đặt bàn theo quy định để lên hạng Bạc, Vàng, Kim Cương.",LOYALTY
FAQ_058,"Quyền lợi của thành viên VIP là gì?","Thành viên VIP được ưu tiên xếp bàn, tặng món, và có voucher sinh nhật giá trị cao.",LOYALTY
FAQ_059,"Tôi giới thiệu bạn bè có được quà không?","Có. Bạn nhận được điểm thưởng khi bạn bè đăng ký và hoàn thành đơn đặt bàn đầu tiên.",LOYALTY
FAQ_060,"Voucher có áp dụng ngày lễ không?","Thường voucher không áp dụng dịp Lễ/Tết, vui lòng đọc kỹ điều kiện vé.",LOYALTY
FAQ_061,"Tôi cần hỗ trợ kỹ thuật gấp.","Vui lòng gọi hotline kỹ thuật [Số Hotline] hoạt động 24/7.",SUPPORT
FAQ_062,"Web bị lỗi không truy cập được.","Bạn thử xóa cache trình duyệt hoặc thử lại sau ít phút. Chúng tôi đang kiểm tra hệ thống.",SUPPORT
FAQ_063,"Làm sao để gửi góp ý cho App?","Bạn vào mục 'Cài đặt' -> 'Góp ý' để gửi phản hồi cho đội ngũ phát triển.",SUPPORT
FAQ_064,"Tôi muốn hợp tác làm đối tác nhà hàng.","Vui lòng truy cập trang 'Dành cho Đối tác' và điền form đăng ký, chúng tôi sẽ liên hệ lại.",SUPPORT
FAQ_067,"Có ứng dụng trên điện thoại không?","Có ạ. Bạn tải app trên App Store hoặc Google Play để đặt bàn tiện hơn.",SYSTEM
FAQ_068,"App có hỗ trợ tiếng Anh không?","Có. Bạn có thể đổi ngôn ngữ trong phần Cài đặt.",SYSTEM

FAQ_070,"Làm sao lọc nhà hàng theo giá tiền?","Sử dụng bộ lọc giá ($ - $$$$$) để tìm quán phù hợp túi tiền.",SYSTEM

FAQ_072,"Làm sao biết nhà hàng có chỗ đậu ô tô?","Thông tin tiện ích 'Đỗ ô tô' được hiển thị ngay trên trang chi tiết nhà hàng.",SYSTEM
FAQ_073,"Có thể lưu nhà hàng yêu thích không?","Được. Bạn nhấn icon trái tim để lưu vào danh sách Yêu thích.",SYSTEM
FAQ_074,"web này của ai","Đây là sản phẩm của 22050079.",SYSTEM
FAQ_074_1,"bạn do ai tạo ra?","Đây là sản phẩm của 22050079.",SYSTEM
FAQ_075,"Tôi muốn hủy nhận email quảng cáo.","Bạn nhấn 'Unsubscribe' ở cuối email hoặc tắt trong cài đặt thông báo.",ACCOUNT
FAQ_076,"Quy định về mang đồ uống từ ngoài vào?","Thông tin phí rượu (corkage fee) thường ghi trong chi tiết nhà hàng, hoặc bạn nên hỏi trước.",BOOKING
FAQ_077,"Làm sao biết quán nào đang có khuyến mãi?","Bạn vào mục 'Ưu đãi hot' để xem danh sách nhà hàng đang giảm giá.",SYSTEM

FAQ_079,"Tôi muốn xem thực đơn trước.","Hầu hết nhà hàng trên hệ thống đều có đính kèm ảnh Menu.",BOOKING
FAQ_080,"Hệ thống có nhắc lịch hẹn không?","Có. Hệ thống sẽ gửi thông báo nhắc nhở trước giờ ăn 30-60 phút.",SYSTEM
FAQ_081,"Tôi quên mật khẩu, lấy lại bằng số điện thoại được không?","Được ạ, bạn chọn 'Quên mật khẩu' rồi nhập số điện thoại để nhận mã xác thực.",ACCOUNT
FAQ_082,"Tại sao tài khoản của tôi bị tạm khóa?","Có thể do nhập sai mật khẩu quá nhiều lần hoặc vi phạm chính sách cộng đồng.",ACCOUNT
FAQ_083,"Tôi muốn thay đổi email liên kết.","Bạn vào mục 'Hồ sơ cá nhân' để cập nhật địa chỉ email mới.",ACCOUNT
FAQ_084,"Đăng ký thành viên có cần CMND không?","Không ạ, chỉ cần số điện thoại và email là đủ.",ACCOUNT
FAQ_085,"Làm sao để biết tài khoản đã được xác thực?","Tài khoản đã xác thực sẽ có dấu tích xanh bên cạnh tên hiển thị.",ACCOUNT
FAQ_086,"Tôi có thể dùng chung tài khoản với người khác không?","Chúng tôi khuyến khích mỗi người dùng một tài khoản riêng để bảo mật và tích điểm chính xác.",ACCOUNT
FAQ_087,"Làm thế nào để cập nhật ngày sinh nhật?","Bạn vào chỉnh sửa hồ sơ để thêm ngày sinh và nhận quà ưu đãi.",ACCOUNT
FAQ_088,"Tôi không đăng nhập được dù đúng mật khẩu.","Hãy kiểm tra lại phím CapsLock hoặc liên hệ CSKH để được hỗ trợ.",ACCOUNT
FAQ_089,"Có thể đăng xuất từ xa không?","Bạn có thể đổi mật khẩu, hệ thống sẽ tự động đăng xuất các thiết bị cũ.",ACCOUNT
FAQ_090,"Làm sao để kiểm tra hạng thành viên hiện tại?","Hạng thành viên hiển thị ngay trang chủ tài khoản của bạn.",LOYALTY
FAQ_091,"Tôi muốn đặt tiệc công ty quy mô lớn.","Vui lòng điền form 'Đặt tiệc' để nhân viên tư vấn liên hệ báo giá riêng.",BOOKING
FAQ_092,"Có thể đặt 2 nhà hàng cùng lúc không?","Bạn có thể tạo nhiều đơn đặt bàn khác nhau miễn là không trùng giờ.",BOOKING
FAQ_093,"Làm sao biết nhà hàng đã xác nhận đơn?","Bạn sẽ nhận được thông báo 'Đặt chỗ thành công' qua ứng dụng.",BOOKING
FAQ_094,"Tôi đặt bàn nhưng không thấy mã đơn hàng.","Mã đơn hàng nằm trong phần 'Chi tiết đặt chỗ' và trong email xác nhận.",BOOKING
FAQ_095,"Có thể yêu cầu trang trí bàn tiệc không?","Bạn hãy ghi chú yêu cầu trang trí, nhà hàng sẽ liên hệ xác nhận chi phí (nếu có).",BOOKING
FAQ_096,"Đặt bàn qua app có chắc chắn có chỗ không?","Khi nhận được thông báo 'Thành công', nghĩa là chỗ của bạn đã được giữ.",BOOKING
FAQ_097,"Tôi muốn đổi ngày đặt sang tuần sau.","Bạn vào đơn hàng hiện tại, chọn 'Đổi lịch' và chọn ngày mới.",BOOKING
FAQ_098,"Nhà hàng có giữ bàn nếu tôi đến muộn không?","Thường chỉ giữ 15 phút. Bạn nên gọi báo trước nếu trễ.",BOOKING
FAQ_099,"Tôi muốn đặt bàn ở khu vực hút thuốc.","Hãy tìm nhà hàng có tiện ích 'Khu vực hút thuốc' hoặc ghi chú khi đặt.",BOOKING
FAQ_100,"Làm sao để hủy đặt bàn tự động?","Hệ thống không tự hủy, bạn phải thao tác hủy thủ công trên app.",BOOKING
FAQ_101,"Tôi có thể trả trước tiền ăn không?","Bạn có thể chọn thanh toán trước qua thẻ/ví điện tử nếu nhà hàng hỗ trợ.",PAYMENT
FAQ_102,"Hoàn tiền vào ví mất bao lâu?","Thường từ 1-3 ngày làm việc tùy ngân hàng.",PAYMENT
FAQ_103,"Tôi bị trừ tiền 2 lần cho 1 đơn.","Hãy gửi mã giao dịch cho bộ phận hỗ trợ để được kiểm tra và hoàn tiền thừa.",PAYMENT
FAQ_104,"Có hỗ trợ thanh toán Apple Pay không?","Có, nếu bạn đặt qua ứng dụng trên iOS.",PAYMENT
FAQ_105,"Tại sao tôi không thể chọn thanh toán khi đến nơi?","Một số nhà hàng hot hoặc giờ cao điểm bắt buộc phải đặt cọc trước.",PAYMENT
FAQ_106,"Tôi cần xuất hóa đơn VAT điện tử.","Hệ thống hỗ trợ gửi yêu cầu xuất hóa đơn điện tử tới nhà hàng.",PAYMENT
FAQ_107,"Phí giữ chỗ là bao nhiêu?","Phí giữ chỗ tùy thuộc vào quy định từng nhà hàng, thường được trừ vào hóa đơn.",PAYMENT
FAQ_108,"Có thể thanh toán bằng thẻ Amex không?","Hệ thống chấp nhận hầu hết các loại thẻ quốc tế bao gồm Visa, Master, JCB.",PAYMENT
FAQ_109,"Làm sao để thêm thẻ thanh toán mới?","Vào mục 'Thanh toán', chọn 'Thêm phương thức mới'.",PAYMENT
FAQ_110,"Thông tin thẻ của tôi có an toàn không?","Dữ liệu thẻ được mã hóa chuẩn quốc tế PCI DSS, tuyệt đối an toàn.",PAYMENT
FAQ_111,"Điểm tích lũy tính như thế nào?","Thường là 1.000đ chi tiêu = 1 điểm (tùy chính sách từng thời điểm).",LOYALTY
FAQ_112,"Làm sao để đổi điểm lấy quà?","Vào kho 'Quà tặng', chọn quà tương ứng với số điểm và bấm 'Đổi ngay'.",LOYALTY
FAQ_113,"Voucher giảm giá có hạn dùng không?","Có, hạn sử dụng ghi rõ trên voucher.",LOYALTY
FAQ_114,"Tại sao tôi không được cộng điểm sau khi ăn?","Điểm được cộng sau khi nhà hàng xác nhận bạn đã hoàn thành bữa ăn (thường sau 24h).",LOYALTY
FAQ_115,"Có thể tặng điểm cho bạn bè không?","Hiện tại hệ thống chưa hỗ trợ chuyển điểm giữa các tài khoản.",LOYALTY
FAQ_116,"Voucher có áp dụng cùng các khuyến mãi khác không?","Thường là không, trừ khi có ghi chú 'Được áp dụng đồng thời'.",LOYALTY
FAQ_117,"Làm sao để biết tôi có voucher nào?","Kiểm tra trong mục 'Ví voucher' của bạn.",LOYALTY
FAQ_118,"Mã giới thiệu nhập ở đâu?","Bạn nhập mã giới thiệu ở bước đăng ký tài khoản mới.",LOYALTY
FAQ_119,"Hạng thành viên có bị hạ không?","Có, nếu trong kỳ xét hạng bạn không đạt đủ chi tiêu tối thiểu.",LOYALTY
FAQ_120,"Làm sao nhận thông báo khuyến mãi mới nhất?","Hãy bật thông báo ứng dụng để không bỏ lỡ deal hot.",LOYALTY
FAQ_121,"Tôi gọi hotline nhưng máy bận.","Do lượng cuộc gọi cao, bạn vui lòng chờ hoặc nhắn tin qua Live Chat.",SUPPORT
FAQ_122,"Gửi email hỗ trợ bao lâu thì được phản hồi?","Chúng tôi thường phản hồi trong vòng 24 giờ làm việc.",SUPPORT
FAQ_123,"Tôi muốn báo cáo lỗi ứng dụng.","Hãy chụp màn hình lỗi và gửi qua mục 'Báo lỗi' trong cài đặt.",SUPPORT
FAQ_124,"Có chat trực tuyến với nhân viên không?","Có, bạn bấm vào biểu tượng Chat ở góc màn hình.",SUPPORT
FAQ_125,"Tôi muốn khiếu nại về vệ sinh nhà hàng.","Vui lòng gửi phản hồi chi tiết kèm hình ảnh (nếu có), chúng tôi sẽ làm việc với đối tác.",SUPPORT
FAQ_126,"Làm sao để xóa lịch sử chat?","Hiện tại hệ thống chưa hỗ trợ xóa lịch sử chat hỗ trợ.",SUPPORT
FAQ_127,"Có văn phòng đại diện để đến trực tiếp không?","Chúng tôi hỗ trợ online là chủ yếu. Văn phòng chỉ dành cho đối tác.",SUPPORT
FAQ_128,"Tôi muốn sửa đánh giá nhà hàng.","Bạn có thể sửa đánh giá 1 lần trong vòng 7 ngày sau khi đăng.",SUPPORT
FAQ_129,"Tại sao tài khoản tôi bị chặn bình luận?","Do vi phạm quy tắc cộng đồng (ngôn từ không phù hợp, spam).",SUPPORT
FAQ_130,"Hướng dẫn sử dụng cho người mới.","Bạn có thể xem video hướng dẫn tại mục 'Trợ giúp'.",SUPPORT
FAQ_131,"Ứng dụng có tốn dung lượng nhiều không?","App được tối ưu hóa nhẹ nhàng, không chiếm nhiều bộ nhớ.",SYSTEM
FAQ_132,"Có cần bật định vị khi dùng app không?","Nên bật định vị để tìm nhà hàng gần bạn chính xác nhất.",SYSTEM
FAQ_133,"Web có giao diện tối (Dark Mode) không?","Hiện tại chưa hỗ trợ Dark Mode trên web, chỉ có trên App.",SYSTEM
FAQ_134,"Tôi muốn thay đổi ngôn ngữ sang tiếng Việt.","Vào Cài đặt -> Ngôn ngữ -> Chọn Tiếng Việt.",SYSTEM
FAQ_135,"Làm sao để chia sẻ nhà hàng cho bạn bè?","Nhấn nút 'Chia sẻ' (icon mũi tên) trên trang nhà hàng để gửi link.",SYSTEM
FAQ_136,"Danh sách yêu thích lưu được bao nhiêu quán?","Không giới hạn số lượng quán trong danh sách yêu thích.",SYSTEM
FAQ_137,"Làm sao xem bản đồ đường đi?","Nhấn vào địa chỉ nhà hàng, hệ thống sẽ mở Google Maps chỉ đường.",SYSTEM
FAQ_138,"Có thể đặt bàn trên máy tính không?","Được, website hỗ trợ đầy đủ tính năng như trên app.",SYSTEM
FAQ_139,"Tại sao hình ảnh nhà hàng không hiển thị?","Vui lòng kiểm tra kết nối mạng của bạn.",SYSTEM
FAQ_140,"Hệ thống có cập nhật menu thường xuyên không?","Menu được các đối tác nhà hàng cập nhật liên tục.",SYSTEM
FAQ_141,"Tôi muốn đổi mật khẩu mới.","Vào 'Cài đặt tài khoản' -> 'Đổi mật khẩu' -> Nhập mật khẩu cũ và mới.",ACCOUNT
FAQ_142,"Tại sao tôi phải xác thực số điện thoại?","Để bảo mật tài khoản và nhận thông báo về đơn đặt bàn.",ACCOUNT
FAQ_143,"Tôi có thể dùng 2 email cho 1 tài khoản không?","Không, mỗi tài khoản chỉ liên kết với 1 email duy nhất.",ACCOUNT
FAQ_144,"Làm sao kiểm tra thông tin cá nhân?","Vào mục 'Hồ sơ' để xem và chỉnh sửa thông tin.",ACCOUNT
FAQ_145,"Tôi bị mất điện thoại, làm sao khóa tài khoản?","Hãy liên hệ ngay hotline để chúng tôi hỗ trợ khóa tạm thời.",ACCOUNT
FAQ_146,"Lịch sử giao dịch được lưu bao lâu?","Hệ thống lưu trữ lịch sử giao dịch trong 12 tháng gần nhất.",ACCOUNT
FAQ_147,"Tôi muốn tắt thông báo đẩy.","Vào Cài đặt -> Thông báo -> Tắt các mục không cần thiết.",ACCOUNT
FAQ_148,"Có thể liên kết tài khoản Instagram không?","Hiện tại chỉ hỗ trợ liên kết Facebook và Google.",ACCOUNT
FAQ_149,"Tôi muốn xem điều khoản sử dụng.","Link 'Điều khoản sử dụng' nằm ở chân trang website.",ACCOUNT
FAQ_150,"Làm sao biết ai đang đăng nhập tài khoản của tôi?","Vào phần 'Quản lý thiết bị' để xem danh sách đăng nhập.",ACCOUNT

FAQ_152,"Có thể đặt bàn ngoài trời không?","Bạn chọn bộ lọc 'Ngoài trời' khi tìm kiếm nhà hàng.",BOOKING
FAQ_153,"Làm sao biết nhà hàng có ghế sofa?","Xem phần 'Tiện ích' hoặc hình ảnh không gian của nhà hàng.",BOOKING
FAQ_154,"Tôi muốn đặt bàn ở tầng thượng (Rooftop).","Hãy tìm từ khóa 'Rooftop' trên thanh tìm kiếm.",BOOKING
FAQ_155,"Có giới hạn thời gian ngồi ăn không?","Một số nhà hàng buffet có giới hạn giờ, thông tin này ghi rõ trong chi tiết.",BOOKING
FAQ_156,"Tôi muốn đặt combo khuyến mãi.","Chọn combo mong muốn trong menu khi đặt bàn.",BOOKING
FAQ_157,"Làm sao để biết nhà hàng phù hợp hẹn hò?","Xem các bộ sưu tập 'Lãng mạn' hoặc 'Hẹn hò' trên trang chủ.",BOOKING
FAQ_158,"Có cần in phiếu đặt bàn không?","Không cần, chỉ cần đưa mã đơn hàng trên điện thoại cho lễ tân.",BOOKING
FAQ_159,"Tôi đặt bàn cho người nước ngoài.","Giao diện có tiếng Anh để bạn dễ dàng thao tác.",BOOKING
FAQ_160,"Làm sao biết nhà hàng có nhạc sống?","Tìm các quán có tag 'Live Music' hoặc 'Nhạc sống'.",BOOKING
FAQ_161,"Thanh toán lỗi nhưng tiền vẫn bị trừ.","Hệ thống sẽ tự động hoàn tiền treo (reversal) trong vài giờ.",PAYMENT
FAQ_162,"Có xuất hóa đơn cho cá nhân không?","Có, miễn là bạn yêu cầu trước khi thanh toán.",PAYMENT
FAQ_163,"Tôi muốn xóa thẻ đã lưu.","Vào 'Phương thức thanh toán', vuốt trái thẻ cần xóa và chọn 'Xóa'.",PAYMENT
FAQ_164,"Có phí ẩn nào không?","Giá hiển thị là giá ước tính, hóa đơn cuối cùng theo thực tế sử dụng.",PAYMENT
FAQ_165,"Ví điện tử nào được hỗ trợ?","Momo, ZaloPay, ShopeePay, ViettelMoney.",PAYMENT
FAQ_166,"Tôi có thể chuyển khoản trực tiếp cho nhà hàng không?","Nếu đặt qua hệ thống, bạn nên thanh toán qua cổng của chúng tôi để được đảm bảo.",PAYMENT
FAQ_167,"Tại sao mã giảm giá không trừ tiền?","Có thể mã chỉ áp dụng cho món ăn, không áp dụng cho đồ uống hoặc phí dịch vụ.",PAYMENT
FAQ_168,"Tiền hoàn về ví dùng để làm gì?","Dùng để thanh toán cho các đơn đặt bàn tiếp theo.",PAYMENT
FAQ_169,"Có quy định mức cọc tối thiểu không?","Mức cọc thường là 10-20% giá trị dự kiến hoặc số tiền cố định/người.",PAYMENT
FAQ_170,"Tôi muốn xem bảng giá chi tiết.","Vui lòng xem trong mục 'Thực đơn' của nhà hàng.",PAYMENT
FAQ_171,"Làm sao biết voucher nào sắp hết hạn?","Trong 'Ví voucher', các mã sắp hết hạn sẽ được xếp lên đầu.",LOYALTY
FAQ_172,"Có được cộng dồn điểm từ nhiều tài khoản không?","Không, điểm thưởng gắn liền với từng tài khoản riêng biệt.",LOYALTY
FAQ_173,"Sinh nhật tôi được tặng gì?","Thành viên thường được tặng voucher hoặc bánh kem tùy hạng.",LOYALTY
FAQ_174,"Tại sao tôi bị trừ điểm thưởng?","Điểm thưởng quá hạn sẽ tự động bị hủy.",LOYALTY
FAQ_175,"Chương trình khách hàng thân thiết có mất phí tham gia không?","Không, tham gia hoàn toàn miễn phí.",LOYALTY
FAQ_176,"Làm sao để kiếm nhiều điểm hơn?","Đặt bàn thường xuyên, viết đánh giá, mời bạn bè.",LOYALTY
FAQ_177,"Tôi đổi quà nhưng không dùng, có được trả lại điểm không?","Quà đã đổi không thể hoàn lại điểm.",LOYALTY
FAQ_178,"Hạng thành viên được giữ trong bao lâu?","Hạng thành viên được xét lại mỗi 6 tháng hoặc 1 năm.",LOYALTY
FAQ_179,"Voucher giảm theo % hay số tiền?","Có cả hai loại voucher, chi tiết ghi trên thẻ voucher.",LOYALTY
FAQ_180,"Tôi có thể cho người khác mã voucher của mình không?","Nếu là mã chung thì được, nếu là mã cá nhân trong ví thì không chuyển nhượng được.",LOYALTY
FAQ_181,"Gửi feedback ẩn danh được không?","Được, bạn có thể chọn chế độ 'Ẩn danh' khi viết đánh giá.",SUPPORT
FAQ_182,"Tôi muốn làm việc tại công ty.","Xem mục 'Tuyển dụng' ở cuối trang web.",SUPPORT
