id,template_question,intent,slots,answer_template
TPL_034,"Cho hỏi đường đến nhà hàng [RES_NAME].","ASK_ADDRESS","RES_NAME","Nhà hàng [RES_NAME] tại [ADDRESS] ạ."
TPL_035,"[RES_NAME] nằm gần đâu, cho mình địa chỉ.","ASK_ADDRESS","RES_NAME","Địa chỉ [RES_NAME] là [ADDRESS] ạ."
TPL_036,"Mình muốn ghé [RES_NAME], cho mình địa chỉ nha.","ASK_ADDRESS","RES_NAME","Mời bạn ghé [RES_NAME] tại [ADDRESS] ạ."
TPL_037,"Địa điểm của [RES_NAME] ở đâu?","ASK_ADDRESS","RES_NAME","Địa điểm của [RES_NAME] là [ADDRESS]."
TPL_038,"Quán [RES_NAME] ở khúc nào vậy?","ASK_ADDRESS","RES_NAME","Dạ [RES_NAME] ở [ADDRESS] ạ."
TPL_039,"Gửi mình định vị của [RES_NAME] nhé.","ASK_ADDRESS","RES_NAME","Địa chỉ định vị của [RES_NAME] là [ADDRESS] ạ."
TPL_040,"Trụ sở của [RES_NAME] nằm ở đâu?","ASK_ADDRESS","RES_NAME","[RES_NAME] nằm tại [ADDRESS] ạ."
TPL_041,"Số điện thoại của [RES_NAME] là bao nhiêu?","ASK_PHONE","RES_NAME","Số điện thoại liên hệ của [RES_NAME] là [PHONE] ạ."
TPL_042,"Cho mình xin hotline đặt bàn tại [RES_NAME].","ASK_PHONE","RES_NAME","Hotline của [RES_NAME] là [PHONE], bạn có thể gọi để được hỗ trợ nhé."
TPL_043,"Làm sao để gọi cho [RES_NAME]?","ASK_PHONE","RES_NAME","Bạn có thể liên hệ [RES_NAME] qua số [PHONE] ạ."
TPL_044,"Mình cần liên hệ gấp với [RES_NAME], có số không?","ASK_PHONE","RES_NAME","Dạ bạn có thể gọi vào số [PHONE] của [RES_NAME] ạ."
TPL_045,"SĐT tổng đài của [RES_NAME] là số mấy?","ASK_PHONE","RES_NAME","Số tổng đài của [RES_NAME] là [PHONE] ạ."
TPL_046,"Bạn có số liên lạc của quản lý [RES_NAME] không?","ASK_PHONE","RES_NAME","Bạn vui lòng liên hệ số hotline chung của [RES_NAME] là [PHONE] nhé."
TPL_047,"Cho xin contact của [RES_NAME] với.","ASK_PHONE","RES_NAME","Contact hotline của [RES_NAME] là [PHONE] ạ."
TPL_048,"Muốn gọi đặt bàn [RES_NAME] thì gọi số nào?","ASK_PHONE","RES_NAME","Để đặt bàn [RES_NAME], bạn gọi số [PHONE] ạ."
TPL_049,"Hotline CSKH của [RES_NAME] là gì?","ASK_PHONE","RES_NAME","Hotline CSKH của [RES_NAME] là [PHONE] ạ."
TPL_050,"Mình muốn gọi điện cho lễ tân [RES_NAME].","ASK_PHONE","RES_NAME","Số điện thoại lễ tân [RES_NAME] là [PHONE] bạn nhé."
TPL_051,"[RES_NAME] có số di động hay bàn không?","ASK_PHONE","RES_NAME","Dạ số điện thoại chính thức của [RES_NAME] là [PHONE]."
TPL_052,"Xin số đt bàn của [RES_NAME].","ASK_PHONE","RES_NAME","Số điện thoại của [RES_NAME] đây ạ: [PHONE]."
TPL_053,"Có cách nào gọi trực tiếp cho [RES_NAME] không?","ASK_PHONE","RES_NAME","Bạn gọi trực tiếp số [PHONE] để gặp [RES_NAME] nhé."
TPL_054,"Đường dây nóng của [RES_NAME] là số mấy?","ASK_PHONE","RES_NAME","Đường dây nóng [RES_NAME]: [PHONE] ạ."
TPL_055,"Tìm giúp mình số điện thoại [RES_NAME].","ASK_PHONE","RES_NAME","Số điện thoại [RES_NAME] bạn cần là [PHONE]."
TPL_056,"Mình cần gọi check đơn tại [RES_NAME], cho xin số.","ASK_PHONE","RES_NAME","Bạn gọi số [PHONE] để check với [RES_NAME] nhé."
TPL_057,"Số phone của quán [RES_NAME] là gì?","ASK_PHONE","RES_NAME","Phone của [RES_NAME] là [PHONE] ạ."
TPL_058,"Liên lạc với [RES_NAME] qua số nào?","ASK_PHONE","RES_NAME","Vui lòng liên lạc [RES_NAME] qua số [PHONE]."
TPL_059,"Hotline booking của [RES_NAME] bao nhiêu?","ASK_PHONE","RES_NAME","Hotline booking [RES_NAME] là [PHONE] ạ."
TPL_060,"Cần xin số để gọi [RES_NAME] gấp.","ASK_PHONE","RES_NAME","Số điện thoại [RES_NAME] đây ạ: [PHONE]."
TPL_061,"[RES_NAME] có những món gì ngon?","ASK_MENU","RES_NAME","Dạ đây là thực đơn của [RES_NAME] ạ: [MENU_LIST]."
TPL_062,"Cho mình xem menu của [RES_NAME] được không?","ASK_MENU","RES_NAME","Mời bạn tham khảo menu của [RES_NAME]: [MENU_LIST]."
TPL_063,"Thực đơn bên [RES_NAME] gồm những món nào?","ASK_MENU","RES_NAME","Thực đơn tại [RES_NAME] bao gồm: [MENU_LIST]."
TPL_064,"[RES_NAME] đang phục vụ các món ăn nào?","ASK_MENU","RES_NAME","Hiện [RES_NAME] đang phục vụ các món: [MENU_LIST]."
TPL_065,"Gửi giúp mình danh sách món ăn tại [RES_NAME] nhé.","ASK_MENU","RES_NAME","Dạ, danh sách món ăn tại [RES_NAME] đây ạ: [MENU_LIST]."
TPL_066,"Mình muốn biết menu hiện tại của [RES_NAME].","ASK_MENU","RES_NAME","Thực đơn hiện tại của [RES_NAME] gồm: [MENU_LIST]."
TPL_067,"Đến [RES_NAME] thì có món gì ăn?","ASK_MENU","RES_NAME","Đến [RES_NAME] bạn có thể dùng: [MENU_LIST]."
TPL_068,"List món ăn ở [RES_NAME] có gì đặc biệt?","ASK_MENU","RES_NAME","[RES_NAME] có các món đặc biệt như: [MENU_LIST]."
TPL_069,"Tư vấn thực đơn [RES_NAME] giúp mình.","ASK_MENU","RES_NAME","Dạ thực đơn [RES_NAME] có: [MENU_LIST]."
TPL_070,"Mình muốn xem qua menu [RES_NAME] trước khi đến.","ASK_MENU","RES_NAME","Dạ đây là menu của [RES_NAME] ạ: [MENU_LIST]."
TPL_071,"[RES_NAME] bán những món gì vậy?","ASK_MENU","RES_NAME","[RES_NAME] chuyên các món: [MENU_LIST]."
TPL_072,"Có gì ăn ở [RES_NAME] không?","ASK_MENU","RES_NAME","Tại [RES_NAME] có rất nhiều món ngon: [MENU_LIST]."
TPL_073,"Xin cái menu của [RES_NAME] với ạ.","ASK_MENU","RES_NAME","Gửi bạn menu của [RES_NAME]: [MENU_LIST]."
TPL_074,"Liệt kê các món chính ở [RES_NAME] đi.","ASK_MENU","RES_NAME","Các món ăn tại [RES_NAME] gồm: [MENU_LIST]."
TPL_075,"Thực đơn [RES_NAME] hôm nay có gì?","ASK_MENU","RES_NAME","Hôm nay [RES_NAME] phục vụ: [MENU_LIST]."
TPL_076,"Mình muốn tham khảo đồ ăn bên [RES_NAME].","ASK_MENU","RES_NAME","Mời bạn xem qua đồ ăn tại [RES_NAME]: [MENU_LIST]."
TPL_077,"Menu quán [RES_NAME] đa dạng không?","ASK_MENU","RES_NAME","[RES_NAME] có menu rất đa dạng: [MENU_LIST]."
TPL_078,"Cho hỏi thực đơn chi tiết của [RES_NAME].","ASK_MENU","RES_NAME","Chi tiết thực đơn [RES_NAME] đây ạ: [MENU_LIST]."
TPL_079,"Ở [RES_NAME] phục vụ món Á hay Âu?","ASK_MENU","RES_NAME","Thực đơn [RES_NAME] bao gồm: [MENU_LIST]."
TPL_080,"Danh sách món ngon tại [RES_NAME] là gì?","ASK_MENU","RES_NAME","Danh sách món tại [RES_NAME]: [MENU_LIST]."
TPL_081,"Món [DISH_NAME] ở [RES_NAME] giá bao nhiêu?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Món [DISH_NAME] tại [RES_NAME] có giá là [PRICE] ạ."
TPL_082,"Giá của [DISH_NAME] tại [RES_NAME] là mấy tiền?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Dạ giá của [DISH_NAME] ở [RES_NAME] là [PRICE]."
TPL_083,"Cho hỏi giá niêm yết món [DISH_NAME] bên [RES_NAME].","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Hiện tại món [DISH_NAME] ở [RES_NAME] đang có giá [PRICE] ạ."
TPL_084,"Món [DISH_NAME] của [RES_NAME] có đắt không?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Món [DISH_NAME] tại [RES_NAME] có mức giá là [PRICE] bạn nhé."
TPL_085,"Báo giá giúp mình món [DISH_NAME] tại [RES_NAME].","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Dạ món [DISH_NAME] ở [RES_NAME] có giá [PRICE] ạ."
TPL_086,"Mình muốn biết giá một phần [DISH_NAME] ở [RES_NAME].","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Một phần [DISH_NAME] tại [RES_NAME] giá là [PRICE] ạ."
TPL_087,"[DISH_NAME] trong menu [RES_NAME] bán bao nhiêu?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","[DISH_NAME] trong menu [RES_NAME] bán với giá [PRICE] ạ."
TPL_088,"Xin giá món [DISH_NAME] ở [RES_NAME].","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Giá món [DISH_NAME] là [PRICE] tại [RES_NAME] ạ."
TPL_089,"Chi phí cho món [DISH_NAME] tại [RES_NAME] là bao nhiêu?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Bạn sẽ chi [PRICE] cho món [DISH_NAME] tại [RES_NAME] ạ."
TPL_090,"[DISH_NAME] ở [RES_NAME] bao nhiêu 1 suất?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Một suất [DISH_NAME] ở [RES_NAME] giá [PRICE] ạ."
TPL_091,"Giá tiền của [DISH_NAME] quán [RES_NAME]?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","[DISH_NAME] quán [RES_NAME] có giá [PRICE]."
TPL_092,"Món [DISH_NAME] bên [RES_NAME] giá cao không?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Giá [DISH_NAME] bên [RES_NAME] là [PRICE] ạ."
TPL_093,"Cho hỏi giá [DISH_NAME] của [RES_NAME] hiện tại.","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Hiện tại [DISH_NAME] của [RES_NAME] giá [PRICE]."
TPL_094,"[RES_NAME] bán [DISH_NAME] giá sao?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","[RES_NAME] bán [DISH_NAME] với giá [PRICE] ạ."
TPL_095,"Check giá [DISH_NAME] tại [RES_NAME] giúp mình.","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Giá [DISH_NAME] tại [RES_NAME] là [PRICE] ạ."
TPL_096,"Một dĩa [DISH_NAME] ở [RES_NAME] giá nhiêu?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Dĩa [DISH_NAME] ở [RES_NAME] giá [PRICE] nhé."
TPL_097,"Mức giá món [DISH_NAME] tại [RES_NAME].","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Món [DISH_NAME] tại [RES_NAME] có mức giá [PRICE]."
TPL_098,"Tiền món [DISH_NAME] ở [RES_NAME] là bao nhiêu?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Món [DISH_NAME] tại [RES_NAME] giá [PRICE] ạ."
TPL_099,"[DISH_NAME] tại [RES_NAME] giá rẻ hay đắt?","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Món [DISH_NAME] tại [RES_NAME] đang có giá [PRICE] ạ."
TPL_100,"Hỏi giá món [DISH_NAME] của [RES_NAME].","ASK_DISH_PRICE","DISH_NAME,RES_NAME","Giá món [DISH_NAME] của [RES_NAME] là [PRICE]."
TPL_101,"[RES_NAME] còn phục vụ món [DISH_NAME] không?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Dạ món [DISH_NAME] tại [RES_NAME] hiện đang: [AVAILABLE_STATUS] ạ."
TPL_102,"Hôm nay [RES_NAME] có món [DISH_NAME] chứ?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Dạ món [DISH_NAME] ở [RES_NAME] hôm nay [AVAILABLE_STATUS] nhé bạn."
TPL_103,"Check giúp mình xem [DISH_NAME] tại [RES_NAME] còn hàng không.","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Mình vừa kiểm tra, món [DISH_NAME] tại [RES_NAME] đang [AVAILABLE_STATUS] ạ."
TPL_104,"Mình muốn gọi [DISH_NAME] ở [RES_NAME], không biết còn không?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Hiện tại món [DISH_NAME] bên [RES_NAME] [AVAILABLE_STATUS] ạ."
TPL_105,"Tình trạng món [DISH_NAME] bên [RES_NAME] thế nào?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Thông tin món [DISH_NAME] tại [RES_NAME]: [AVAILABLE_STATUS]."
TPL_106,"Quán [RES_NAME] còn bán [DISH_NAME] không bạn?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Dạ món [DISH_NAME] tại [RES_NAME] vẫn [AVAILABLE_STATUS] ạ."
TPL_107,"Món [DISH_NAME] ở [RES_NAME] hết chưa?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Dạ món [DISH_NAME] tại [RES_NAME] [AVAILABLE_STATUS] ạ."
TPL_108,"Kiểm tra xem [RES_NAME] còn [DISH_NAME] không nha.","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Món [DISH_NAME] ở [RES_NAME] hiện [AVAILABLE_STATUS] ạ."
TPL_109,"Mình ghé [RES_NAME] ăn [DISH_NAME] được không?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Dạ món [DISH_NAME] tại [RES_NAME] đang [AVAILABLE_STATUS] ạ."
TPL_110,"[RES_NAME] đang có sẵn [DISH_NAME] không?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Tại [RES_NAME], món [DISH_NAME] đang [AVAILABLE_STATUS]."
TPL_111,"Cho hỏi món [DISH_NAME] tại [RES_NAME] còn hay hết?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Món [DISH_NAME] tại [RES_NAME] [AVAILABLE_STATUS] bạn nhé."
TPL_112,"Bên [RES_NAME] còn làm món [DISH_NAME] không?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Hiện tại món [DISH_NAME] ở [RES_NAME] [AVAILABLE_STATUS] ạ."
TPL_113,"Mình thèm [DISH_NAME], [RES_NAME] có không?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Dạ [RES_NAME] thông báo món [DISH_NAME] [AVAILABLE_STATUS] ạ."
TPL_114,"Liệu [RES_NAME] có phục vụ [DISH_NAME] hôm nay?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Hôm nay món [DISH_NAME] tại [RES_NAME] [AVAILABLE_STATUS] ạ."
TPL_115,"Xác nhận giúp mình [DISH_NAME] ở [RES_NAME] còn không.","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Xác nhận món [DISH_NAME] tại [RES_NAME] [AVAILABLE_STATUS] ạ."
TPL_116,"[RES_NAME] hết món [DISH_NAME] rồi hả?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Dạ tình trạng món [DISH_NAME] ở [RES_NAME] là: [AVAILABLE_STATUS]."
TPL_117,"Món [DISH_NAME] có sẵn ở [RES_NAME] không?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Dạ món [DISH_NAME] tại [RES_NAME] đang [AVAILABLE_STATUS]."
TPL_118,"Đặt món [DISH_NAME] ở [RES_NAME] được không?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Món [DISH_NAME] ở [RES_NAME] hiện [AVAILABLE_STATUS] ạ."
TPL_119,"[RES_NAME] có món [DISH_NAME] trong menu không?","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Món [DISH_NAME] ở [RES_NAME] đang [AVAILABLE_STATUS] ạ."
TPL_120,"Check món [DISH_NAME] quán [RES_NAME].","ASK_DISH_AVAILABILITY","DISH_NAME,RES_NAME","Trạng thái món [DISH_NAME] tại [RES_NAME]: [AVAILABLE_STATUS]."
TPL_121,"[RES_NAME] có những món [CATEGORY] nào?","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Các món [CATEGORY] tại [RES_NAME] gồm: [MENU_LIST]."
TPL_122,"Danh sách [CATEGORY] tại [RES_NAME] gồm gì vậy?","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Danh sách [CATEGORY] ở [RES_NAME] có: [MENU_LIST]."
TPL_123,"Mình muốn tìm các món [CATEGORY] ở [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Dạ [RES_NAME] có các món [CATEGORY] như sau: [MENU_LIST]."
TPL_124,"Gợi ý cho mình vài món [CATEGORY] của [RES_NAME] đi.","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Bạn có thể thử các món [CATEGORY] này tại [RES_NAME]: [MENU_LIST]."
TPL_125,"Bên [RES_NAME] phục vụ loại [CATEGORY] gì không?","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Dạ có, thực đơn [CATEGORY] của [RES_NAME] bao gồm: [MENU_LIST]."
TPL_126,"Cho xem thực đơn [CATEGORY] của [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Gửi bạn thực đơn [CATEGORY] tại [RES_NAME]: [MENU_LIST]."
TPL_127,"[RES_NAME] có bán [CATEGORY] không?","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Có ạ, các món [CATEGORY] tại [RES_NAME] là: [MENU_LIST]."
TPL_128,"Mình muốn gọi [CATEGORY] tại [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Mời bạn chọn các món [CATEGORY] tại [RES_NAME]: [MENU_LIST]."
TPL_129,"Menu [CATEGORY] của [RES_NAME] có gì hấp dẫn?","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Menu [CATEGORY] của [RES_NAME] rất ngon với: [MENU_LIST]."
TPL_130,"Liệt kê giúp mình các món [CATEGORY] ở [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Dạ các món [CATEGORY] ở [RES_NAME] gồm: [MENU_LIST]."
TPL_131,"Ở [RES_NAME] thì [CATEGORY] nào ngon?","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Bạn tham khảo danh sách [CATEGORY] tại [RES_NAME] nhé: [MENU_LIST]."
TPL_132,"Xin list [CATEGORY] của quán [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","List [CATEGORY] của [RES_NAME] đây ạ: [MENU_LIST]."
TPL_133,"Các loại [CATEGORY] có tại [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Tại [RES_NAME] có các loại [CATEGORY]: [MENU_LIST]."
TPL_134,"Mình tìm [CATEGORY] trong menu [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Trong menu [RES_NAME], phần [CATEGORY] có: [MENU_LIST]."
TPL_135,"[RES_NAME] chuyên về [CATEGORY] nào?","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Dạ về [CATEGORY], [RES_NAME] có các món: [MENU_LIST]."
TPL_136,"Bạn ơi, [RES_NAME] có menu [CATEGORY] riêng không?","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Dạ đây là các món [CATEGORY] của [RES_NAME]: [MENU_LIST]."
TPL_137,"Món [CATEGORY] nào đang bán ở [RES_NAME]?","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Các món [CATEGORY] đang bán tại [RES_NAME] là: [MENU_LIST]."
TPL_138,"Kể tên các món [CATEGORY] của [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Các món [CATEGORY] của [RES_NAME] gồm: [MENU_LIST]."
TPL_139,"Cho mình order [CATEGORY] ở [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Bạn có thể order các món [CATEGORY] sau tại [RES_NAME]: [MENU_LIST]."
TPL_140,"Xem danh mục [CATEGORY] quán [RES_NAME].","ASK_MENU_BY_CATEGORY","RES_NAME,CATEGORY","Danh mục [CATEGORY] quán [RES_NAME]: [MENU_LIST]."
TPL_141,"[RES_NAME] còn những khung giờ nào vào ngày [BOOKING_DATE]?","ASK_TIME_SLOTS","RES_NAME,BOOKING_DATE","Vào ngày [BOOKING_DATE], [RES_NAME] còn các khung giờ: [TIME_SLOTS]."
TPL_142,"Cho mình xem các giờ trống tại [RES_NAME] hôm [BOOKING_DATE].","ASK_TIME_SLOTS","RES_NAME,BOOKING_DATE","Các giờ trống tại [RES_NAME] vào [BOOKING_DATE] là: [TIME_SLOTS]."
TPL_143,"Lịch đặt bàn của [RES_NAME] ngày [BOOKING_DATE] thế nào?","ASK_TIME_SLOTS","RES_NAME,BOOKING_DATE","Lịch trống của [RES_NAME] ngày [BOOKING_DATE] gồm: [TIME_SLOTS]."
TPL_144,"Ngày [BOOKING_DATE], [RES_NAME] có thể đặt lúc mấy giờ?","ASK_TIME_SLOTS","RES_NAME,BOOKING_DATE","Bạn có thể đặt [RES_NAME] vào ngày [BOOKING_DATE] các giờ sau: [TIME_SLOTS]."
TPL_145,"Tôi muốn biết khung giờ phục vụ của [RES_NAME] trong ngày [BOOKING_DATE].","ASK_TIME_SLOTS","RES_NAME,BOOKING_DATE","Trong ngày [BOOKING_DATE], [RES_NAME] có các slot: [TIME_SLOTS]."
TPL_146,"Hôm [BOOKING_DATE] bên [RES_NAME] còn slot nào không?","ASK_TIME_SLOTS","RES_NAME,BOOKING_DATE","Dạ ngày [BOOKING_DATE] bên [RES_NAME] còn các slot: [TIME_SLOTS]."
TPL_147,"Các giờ nhận khách của [RES_NAME] ngày [BOOKING_DATE]?","ASK_TIME_SLOTS","RES_NAME,BOOKING_DATE","Ngày [BOOKING_DATE], [RES_NAME] nhận khách các giờ: [TIME_SLOTS]."
